level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma
2,E_slope,iteration1_keff,iter1,secondary,,,0.2632969722055295,0.29418340149954236,-0.07124816147727112,-0.09665340281192428,-0.04569058418287363,-0.09665340281192428,-0.23316576463852282,-0.19192931642398062
2,E_slope,iteration1_avg_fuel_temp,iter1,secondary,-0.10881374918134923,-0.11930727605690641,-0.12940712802377496,-0.12261365544157608,-0.03468568304627502,-0.03287090420017163,-0.03205400657044353,-0.03287090420017163,-0.07214344613157171,-0.07088564597183475
2,E_slope,iteration1_max_fuel_temp,iter1,secondary,-0.10961779688084693,-0.11911137103627169,-0.14815373858453287,-0.13552117045761625,-0.01809519491386144,-0.030971950395990894,-0.012349757390913242,-0.030971950395990894,-0.06785999632192961,-0.05526525023476549
2,E_slope,iteration1_max_monolith_temp,iter1,secondary,-0.10929517998606927,-0.1190916010889187,-0.14435440315177206,-0.12670940790634086,-0.016942690598077573,-0.02251810342505465,-0.013856440715984958,-0.02251810342505465,-0.05694888660236722,-0.04403794045544487
2,E_slope,iteration1_max_global_stress,iter1,secondary,0.15496953724312523,0.15188564930054835,0.1481655118306385,0.15290099702892163,0.024331713410556278,0.004799029697594816,0.03140265310365034,0.004799029697594816,0.04295633087416441,0.04445547569638906
2,E_slope,iteration1_monolith_new_temperature,iter1,secondary,-0.107077098161867,-0.1192331712269334,-0.14379494771163412,-0.12680832468740955,-0.02715791162487483,-0.03611584019291315,-0.024047360462210912,-0.03611584019291315,-0.09134187283535729,-0.08552263250227372
2,E_slope,iteration1_Hcore_after,iter1,secondary,-0.03519746369072484,-0.039898887665498865,-0.05491898549147114,-0.0636270783032464,-0.20389233043549793,-0.1454107602032651,-0.22757023497294795,-0.1454107602032651,-0.1631324776110863,-0.15668214018853363
2,E_slope,iteration1_wall2,iter1,secondary,-0.04942361360893378,-0.07482494669182352,-0.05770102524416228,-0.08088484231899268,-0.10712720019505599,-0.09777735078730573,-0.12695332307057472,-0.09777735078730573,-0.09580671450101293,-0.04014694645642942
2,E_slope,iteration2_keff,iter2,primary,0.02609849846543038,0.039330743980851686,0.036298702513979514,0.05101337057253932,0.005578651208737951,0.017419699297542737,-0.030424013658253087,0.017419699297542737,-0.11927916860790733,-0.11528168103935953
2,E_slope,iteration2_avg_fuel_temp,iter2,secondary,-0.09203489651841167,-0.08905680578784775,-0.13975049773856923,-0.13461546101961044,0.009563388412535625,-0.008294209765794189,0.010929977925396859,-0.008294209765794189,-0.0014767680158372224,0.02437522335200679
2,E_slope,iteration2_max_fuel_temp,iter2,primary,-0.09255620446603291,-0.09013749996612834,-0.12609303271608158,-0.11740620509810025,0.015710573837798548,0.0016911338626921402,0.017285369734473498,0.0016911338626921402,-0.04146598422774377,0.004306269534570456
2,E_slope,iteration2_max_monolith_temp,iter2,primary,-0.09303518615398017,-0.09026864909486987,-0.13064177933572757,-0.11714254422574022,0.015354158046532661,-0.002972750913289261,0.019023566893569942,-0.002972750913289261,-0.039518902895369745,-0.012023017651203812
2,E_slope,iteration2_max_global_stress,iter2,primary,0.20390083414955218,0.1943689306037078,0.19140672491986593,0.1884030826110135,0.03386090752061652,-0.010821580166107202,0.061589936066574966,-0.010821580166107202,0.15752113184766375,0.1772910907002637
2,E_slope,iteration2_monolith_new_temperature,iter2,secondary,-0.0900299715168352,-0.09044898255947151,-0.12938785586419513,-0.11618593616574896,0.00026600279095917445,-0.014378719880137966,-0.00250939443565846,-0.014378719880137966,-0.0637050951446374,-0.04750556771573756
2,E_slope,iteration2_Hcore_after,iter2,secondary,-0.011746774345661366,-0.03648256840253402,-0.04481116656299704,-0.05346799041430496,-0.00539738333900402,-0.14470835650064,-0.003049183932726855,-0.14470835650064,-0.29216110689808095,-0.28683016365371894
2,E_slope,iteration2_wall2,iter2,primary,-0.04246493525808814,-0.06402895221475963,-0.05284120019474296,-0.07294427934537638,-0.13029908356137979,-0.11954814798993281,-0.12152132125449609,-0.11954814798993281,-0.0442743413817615,-0.01550558812455404
2,E_intercept,iteration1_keff,iter1,secondary,,,0.45816360779585197,0.4134661037916713,-0.2715222313760858,-0.2276233323847052,-0.286320608281187,-0.2276233323847052,-0.06952301081009406,-0.08550308573706947
2,E_intercept,iteration1_avg_fuel_temp,iter1,secondary,0.013990816607305898,0.043017021584672736,0.0181163513150646,0.03406553547505861,0.06054245208714883,0.05409720511453718,0.0703778910417131,0.05409720511453718,0.1214287998574767,0.1409502241384354
2,E_intercept,iteration1_max_fuel_temp,iter1,secondary,0.015070333848526333,0.043129990509377464,0.013847506731057094,0.034842510165616986,0.07163974057085276,0.0680552417105888,0.07688698555575685,0.0680552417105888,0.11160025071797043,0.13023587802617054
2,E_intercept,iteration1_max_monolith_temp,iter1,secondary,0.01467881803271013,0.04304410248748808,0.011442043161946358,0.033671691081411825,0.06831442663982878,0.05275093267600425,0.07756037006437731,0.05275093267600425,0.049695813767564025,0.09655901149557326
2,E_intercept,iteration1_max_global_stress,iter1,secondary,0.6893062078206872,0.6850381128317656,0.7057303434401696,0.688032233013697,0.22890829863986123,0.21643853391329407,0.19285231225570476,0.21643853391329407,0.46349939230597687,0.46779908412258364
2,E_intercept,iteration1_monolith_new_temperature,iter1,secondary,0.012080232986469574,0.04298160066241296,0.012319837467728825,0.03285163751329663,0.07126164512004113,0.06332378912990042,0.07434247852537511,0.06332378912990042,0.08517092574026515,0.13487278892172108
2,E_intercept,iteration1_Hcore_after,iter1,secondary,-0.053920320939356836,-0.04554486234253501,-0.053829633488001766,-0.04740314701769996,0.021437217617677643,-0.00688961426175635,0.053102490217420896,-0.00688961426175635,0.09307898197224353,0.07813076771288864
2,E_intercept,iteration1_wall2,iter1,secondary,-0.07464707333752653,-0.07910110492465823,-0.06236739878659946,-0.06814732623417853,0.11857673438706347,0.09178926160562609,0.13400429442152823,0.09178926160562609,0.07534014883980393,0.053264702505422014
2,E_intercept,iteration2_keff,iter2,primary,0.04110898581466254,0.042367964126292304,0.07668199344092919,0.07520060519492734,-0.01282074576802605,-0.02817287744793471,0.010882708308673264,-0.02817287744793471,0.033397283105310496,0.013206689844643666
2,E_intercept,iteration2_avg_fuel_temp,iter2,secondary,0.027360010496591782,0.047770496813299944,0.003264241392260627,0.00929189941642488,0.051462933663886566,0.025294599603551626,0.07782407721878969,0.025294599603551626,0.21953703313913614,0.269253983064476
2,E_intercept,iteration2_max_fuel_temp,iter2,primary,0.028110421318668154,0.049899155155553765,0.01241666459769199,0.02605707551266155,0.055422687063221336,0.030538421504205784,0.07374610979252998,0.030538421504205784,0.22539784673068455,0.2553436877397274
2,E_intercept,iteration2_max_monolith_temp,iter2,primary,0.027363404542370743,0.048600706035512704,0.007134630872291968,0.017110618156262376,0.05176192317451074,0.022326735488825977,0.07910140502376807,0.022326735488825977,0.22446837970152267,0.2511260611218478
2,E_intercept,iteration2_max_global_stress,iter2,primary,0.7696733600008543,0.7563381305036022,0.7805201539755774,0.7606038393649199,0.20131248009445712,0.1858980713874694,0.18231576482650624,0.1858980713874694,0.5720026910053364,0.555820353909796
2,E_intercept,iteration2_monolith_new_temperature,iter2,secondary,0.025541953615231313,0.04746395774683683,0.0031487479858063596,0.01954063947269143,0.051772358079490106,0.01435151640671818,0.08175683681306434,0.01435151640671818,0.06965535116445007,0.10099327804273624
2,E_intercept,iteration2_Hcore_after,iter2,secondary,-0.03374634761201436,-0.05130960694493535,-0.09982417054384855,-0.1031258697160549,-0.02617486466789571,-0.30907416344808825,-0.018973528675231964,-0.30907416344808825,-0.43966735764182435,-0.44363498476942365
2,E_intercept,iteration2_wall2,iter2,primary,-0.0753894863120094,-0.08107528308551086,-0.07031738777638644,-0.07559859359246099,0.0965428491922214,0.09430241526111904,0.0680345064249121,0.09430241526111904,-0.01046427464179614,-0.038850201800170896
2,nu,iteration1_keff,iter1,secondary,,,-0.2992867782362437,-0.30753792731791874,0.28642911423911777,0.2701883240303566,0.2555353178418109,0.2701883240303566,-0.29599858869685913,-0.318518144613078
2,nu,iteration1_avg_fuel_temp,iter1,secondary,0.022824177843735492,0.003124571860693858,0.032723670717744485,-0.0005023102737438963,-0.011591741593659112,0.014117968820532895,-0.031221138616784567,0.014117968820532895,-0.07988822981168092,-0.1370622575768021
2,nu,iteration1_max_fuel_temp,iter1,secondary,0.022500103418436675,0.0032596407058599003,0.03979878254268854,0.004221928574274062,-0.010991278640830177,0.01723103783895254,-0.03228561546934251,0.01723103783895254,0.008216384020236875,-0.018739504451325044
2,nu,iteration1_max_monolith_temp,iter1,secondary,0.022594885405509448,0.0031657882023751953,0.03448380475058573,0.00047213229473795046,-0.00351608725100742,0.02468353860709799,-0.02911657470251459,0.02468353860709799,0.00394421008958617,-0.038753992068816745
2,nu,iteration1_max_global_stress,iter1,secondary,0.1753662896251292,0.17667095148452847,0.19641802292936342,0.19043638706896318,0.0033365903315467874,0.027097338861762285,-0.004958879441096376,0.027097338861762285,-0.048616890708074734,-0.05985517850519889
2,nu,iteration1_monolith_new_temperature,iter1,secondary,0.02358650235129658,0.003052464402839834,0.04839763240264571,0.007014484883485908,-0.007275691780367478,0.01438067752735811,-0.029761213127802735,0.01438067752735811,-0.024335785685234448,-0.0827444466445179
2,nu,iteration1_Hcore_after,iter1,secondary,-0.027194563906703467,-0.06312343675217964,0.0010693181995339292,-0.03222334243724477,0.1735746084438728,0.193186390195206,0.13040622751712921,0.193186390195206,0.19144292308351343,0.1406920707231308
2,nu,iteration1_wall2,iter1,secondary,0.2756268934907104,0.22246951798118053,0.26869168169179186,0.21820092958479345,-0.006219214125239853,0.029249523814319008,-0.03783914613831895,0.029249523814319008,-0.2970366435281318,-0.30361350319925007
2,nu,iteration2_keff,iter2,primary,-0.09619541668347743,-0.057182150986711186,-0.13913499456486536,-0.09614174089929144,-0.040271944135955036,-0.04281043937803773,-0.013681998860968698,-0.04281043937803773,0.12294874503875045,0.06544707292791566
2,nu,iteration2_avg_fuel_temp,iter2,secondary,-0.0005317273072600377,-0.008777592210282263,0.04122893004661521,0.010925303124181569,0.0031204891477439106,0.02790959277967387,-0.01725487776493909,0.02790959277967387,-0.061742191633600306,-0.09149030195638357
2,nu,iteration2_max_fuel_temp,iter2,primary,-0.0007470639325184106,-0.011147423947609546,0.022982288504671725,-0.007026658382322251,-0.002746435545573074,0.017856319550147513,-0.019188926788228197,0.017856319550147513,0.08909550893043823,0.05090565828187762
2,nu,iteration2_max_monolith_temp,iter2,primary,-0.0010434150375020937,-0.01094343235726232,0.025186387880838868,-0.01197395144780364,-0.012293921516762816,0.0006545120639799095,-0.020644708473369276,0.0006545120639799095,-0.02830756295999221,-0.05726861955097912
2,nu,iteration2_max_global_stress,iter2,primary,0.18602728003049243,0.1798082050934018,0.20846144645068956,0.19617880453304626,0.03161047666576783,0.05478256499337623,0.014498932238131177,0.05478256499337623,-0.12194146287798054,-0.13870214645046575
2,nu,iteration2_monolith_new_temperature,iter2,secondary,-9.620378771424252e-05,-0.010268673958901636,0.020960913177963215,-0.01695310115642199,-0.011539069667310543,0.002543696735120049,-0.017716082121381132,0.002543696735120049,-0.08151470706049842,-0.13577881874502024
2,nu,iteration2_Hcore_after,iter2,secondary,-0.020631228139839964,-0.0639567408299192,-0.0016927134428995519,-0.041191708155919105,-0.011860228513876997,0.04729536684885763,-0.013075584820466137,0.04729536684885763,-0.33935375072518037,-0.34797731914806346
2,nu,iteration2_wall2,iter2,primary,0.27398160412615574,0.21843937397925148,0.26450046612502365,0.21177048421470226,-0.10041291301617648,-0.07863460575953214,-0.12321838844383902,-0.07863460575953214,-0.23096700373523135,-0.23934257200752415
2,alpha_base,iteration1_keff,iter1,secondary,,,-0.3424817738234552,-0.39204803380304265,0.20996360858555685,0.19982084177435247,0.17820092383101194,0.19982084177435247,0.05458836209247796,0.07547179576710501
2,alpha_base,iteration1_avg_fuel_temp,iter1,secondary,-0.034653190538516204,-0.02618737089529511,-0.02885238907421082,-0.006147276744025549,-0.07699751036439749,-0.0865226106589087,-0.055524861226989734,-0.0865226106589087,-0.21006996561277988,-0.24449486264207465
2,alpha_base,iteration1_max_fuel_temp,iter1,secondary,-0.03424423814951067,-0.026184058206541905,-0.02028546001058322,-0.0022937845419629304,-0.08429628920345278,-0.0947204594338412,-0.05898335711848498,-0.0947204594338412,-0.21045444026304289,-0.2257831068090028
2,alpha_base,iteration1_max_monolith_temp,iter1,secondary,-0.0343547571564856,-0.02612194095241827,-0.016408012759991975,0.006222867575306136,-0.08828948650972271,-0.09980224657578493,-0.0627190470151442,-0.09980224657578493,-0.2013811211922241,-0.25039495663887507
2,alpha_base,iteration1_max_global_stress,iter1,secondary,0.2525647916410685,0.22730000942937365,0.28336234262889237,0.25439347106420324,-0.029862646186439062,-0.057193814036071954,-0.011685144913256403,-0.057193814036071954,-0.0001662748217774453,0.011211425077252401
2,alpha_base,iteration1_monolith_new_temperature,iter1,secondary,-0.03558599183405601,-0.02616216559101722,-0.01881531934069792,0.0006733196803652704,-0.0826611752978816,-0.10108780058905784,-0.05024822059694809,-0.10108780058905784,-0.17603174665810076,-0.2304318335921158
2,alpha_base,iteration1_Hcore_after,iter1,secondary,0.845155043294301,0.84603843014272,0.8542116396540224,0.8538576859625864,0.09812749214227531,0.11474087114020472,0.0691710960974696,0.11474087114020472,0.703696462692075,0.7233589154352051
2,alpha_base,iteration1_wall2,iter1,secondary,0.8724592258385017,0.8722263112021872,0.8743402680267505,0.8743500337022937,0.07939253179899916,0.100170359966975,0.055668892568977835,0.100170359966975,-0.25636360146024867,-0.23124649427716096
2,alpha_base,iteration2_keff,iter2,primary,-0.8223578966890969,-0.8145146600312609,-0.8825493898131228,-0.8866162067200656,0.07686641003336536,0.1065106575443438,0.04657036192261692,0.1065106575443438,0.6413000492709371,0.658811986931124
2,alpha_base,iteration2_avg_fuel_temp,iter2,secondary,-0.05917793431523676,-0.05688632859388228,-0.030438183723970093,-0.013882106732467599,-0.08637272331737615,-0.09531709470253244,-0.06247813621710122,-0.09531709470253244,-0.37710441889638496,-0.4219399290006475
2,alpha_base,iteration2_max_fuel_temp,iter2,primary,-0.07324026664801915,-0.06978835561795307,-0.061273031165725904,-0.05081227526876065,-0.10894479523803371,-0.11796182686624743,-0.07698596917920487,-0.11796182686624743,-0.3732394941723671,-0.3940589397288545
2,alpha_base,iteration2_max_monolith_temp,iter2,primary,-0.0633781645533053,-0.059993908991024,-0.044193098598550515,-0.02907229202552357,-0.11230664420666397,-0.12267564640448275,-0.0797097683155298,-0.12267564640448275,-0.3859256294610183,-0.3977230175737436
2,alpha_base,iteration2_max_global_stress,iter2,primary,0.2836931731469404,0.24768466625121102,0.31773012972587267,0.2807153356587923,-0.029355744984506243,-0.039826880283391805,-0.021713072705461196,-0.039826880283391805,-0.024912924081182595,-0.02214286521434209
2,alpha_base,iteration2_monolith_new_temperature,iter2,secondary,-0.05395113090803789,-0.04806635138433807,-0.024855688920692905,-0.002697470407721103,-0.1114281952427432,-0.12470770521759278,-0.07383803452633882,-0.12470770521759278,-0.26154668493345423,-0.3017739790559044
2,alpha_base,iteration2_Hcore_after,iter2,secondary,0.22921883669924661,0.8434303678248157,0.8531279900546861,0.8589589326376662,-0.011391769576222819,0.0712309617076506,-0.012740663407696242,0.0712309617076506,0.2468113201185304,0.2688633202003501
