case_id,true_stress,param,true_val,prior_mean,prior_std,post_mean,post_std,contraction,in_90ci
2026_01_20_13_02_03_20,278.39,E_intercept,250523409449.52637,199962913259.04697,19856455540.189907,247622550102.38177,6975078350.589402,0.648724902766675,True
2026_01_20_13_02_03_20,278.39,alpha_base,1.160047196039744e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1544065985680285e-05,7.446643616893515e-07,0.26700143323563197,True
2026_01_20_13_02_03_20,278.39,alpha_slope,5.497686876818224e-09,4.980847359599641e-09,5.120519784474225e-10,5.3942163252760096e-09,3.341219002211911e-10,0.3474844072778077,True
2026_01_20_13_02_03_20,278.39,nu,0.2897099764628433,0.30984843316836863,0.030187336074286225,0.34193248639250484,0.02564733257000917,0.1503943075038099,False
2026_01_26_10_03_56_43,261.43,E_intercept,248182750071.8588,199962913259.04697,19856455540.189907,241884137260.57895,9083683843.680525,0.5425324612796605,True
2026_01_26_10_03_56_43,261.43,alpha_base,1.0056413831031116e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1351874377670518e-05,6.962029355413314e-07,0.3147036702935061,False
2026_01_26_10_03_56_43,261.43,alpha_slope,5.761381870428964e-09,4.980847359599641e-09,5.120519784474225e-10,5.297593227408697e-09,3.9718839832118345e-10,0.22432015686085904,True
2026_01_26_10_03_56_43,261.43,nu,0.3329148367351153,0.30984843316836863,0.030187336074286225,0.3296413522451593,0.02251063494184085,0.25430203955573416,True
2026_02_02_13_36_04_2,252.96,E_intercept,229592358345.2057,199962913259.04697,19856455540.189907,238371787536.93036,10251370618.828983,0.4837260558371064,True
2026_02_02_13_36_04_2,252.96,alpha_base,1.0930772684082872e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1414738291203698e-05,7.82477578471531e-07,0.22978059236819892,True
2026_02_02_13_36_04_2,252.96,alpha_slope,4.788829880741983e-09,4.980847359599641e-09,5.120519784474225e-10,5.335214697684561e-09,5.364940954472551e-10,-0.0477336638244088,True
2026_02_02_13_36_04_2,252.96,nu,0.330053958891103,0.30984843316836863,0.030187336074286225,0.3278249988611675,0.032804676792460075,-0.08670326893810665,True
2025_12_28_15_05_09_24,241.28,E_intercept,228510364655.81403,199962913259.04697,19856455540.189907,231825981104.23108,8684605691.764448,0.5626306178267007,True
2025_12_28_15_05_09_24,241.28,alpha_base,1.1195561466578202e-05,1.0018430562895206e-05,1.015915167442249e-06,1.0807419232372547e-05,8.604932932137119e-07,0.1529870595591558,True
2025_12_28_15_05_09_24,241.28,alpha_slope,4.782609347385593e-09,4.980847359599641e-09,5.120519784474225e-10,5.107445791296912e-09,5.554050417481838e-10,-0.084665356498008,True
2025_12_28_15_05_09_24,241.28,nu,0.3028308899184741,0.30984843316836863,0.030187336074286225,0.3269492162248221,0.024980793687971403,0.1724743903702649,True
2026_03_25_16_02_42_11,240.06,E_intercept,241931510876.17612,199962913259.04697,19856455540.189907,232308480951.62314,8963504855.020151,0.5485848500565562,True
2026_03_25_16_02_42_11,240.06,alpha_base,1.009162198857774e-05,1.0018430562895206e-05,1.015915167442249e-06,1.0871897366548782e-05,8.814640764055186e-07,0.13234480136292825,True
2026_03_25_16_02_42_11,240.06,alpha_slope,5.995947066008479e-09,4.980847359599641e-09,5.120519784474225e-10,5.182186199127481e-09,4.182183850786801e-10,0.18325013342054142,False
2026_03_25_16_02_42_11,240.06,nu,0.2544654058400593,0.30984843316836863,0.030187336074286225,0.31356195312694257,0.027664051503222913,0.08358752043750761,False
2026_01_26_10_03_52_49,237.87,E_intercept,222359598694.2596,199962913259.04697,19856455540.189907,233648060072.54626,10067440712.241634,0.4929890336236036,True
2026_01_26_10_03_52_49,237.87,alpha_base,1.1997728256989288e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1161304493804854e-05,6.990002192643408e-07,0.311950208377929,True
2026_01_26_10_03_52_49,237.87,alpha_slope,4.6731530380873285e-09,4.980847359599641e-09,5.120519784474225e-10,5.337686582398017e-09,4.242835575444512e-10,0.1714052959410317,True
2026_01_26_10_03_52_49,237.87,nu,0.3493396295439041,0.30984843316836863,0.030187336074286225,0.3308296325214249,0.02844774175327646,0.057626625838361534,True
2026_03_07_18_22_15_38,236.04,E_intercept,225629619402.0247,199962913259.04697,19856455540.189907,232177108870.0885,8600399756.014406,0.5668713513040127,True
2026_03_07_18_22_15_38,236.04,alpha_base,1.0515040236602992e-05,1.0018430562895206e-05,1.015915167442249e-06,1.0875139540482103e-05,8.911575582319709e-07,0.1228031761002033,True
2026_03_07_18_22_15_38,236.04,alpha_slope,5.371677776589546e-09,4.980847359599641e-09,5.120519784474225e-10,5.1701861474493786e-09,3.921014346118008e-10,0.23425462430458743,True
2026_03_07_18_22_15_38,236.04,nu,0.338748423477457,0.30984843316836863,0.030187336074286225,0.3162601015526148,0.02499986714931606,0.17184255385121194,True
2026_01_04_10_51_49_18,232.96,E_intercept,229246247706.022,199962913259.04697,19856455540.189907,239906718384.42276,10017384163.560045,0.49550995426728417,True
2026_01_04_10_51_49_18,232.96,alpha_base,9.318065165953964e-06,1.0018430562895206e-05,1.015915167442249e-06,1.0750695590653296e-05,7.298832450688096e-07,0.2815509912048826,False
2026_01_04_10_51_49_18,232.96,alpha_slope,5.575892710477116e-09,4.980847359599641e-09,5.120519784474225e-10,5.145879398223453e-09,4.6259640565998244e-10,0.09658311044396861,True
2026_01_04_10_51_49_18,232.96,nu,0.3129509125131485,0.30984843316836863,0.030187336074286225,0.33355923381536884,0.028972622030482544,0.04023919304487367,True
2025_12_28_15_05_17_40,225.69,E_intercept,229592542921.80136,199962913259.04697,19856455540.189907,234279313343.57697,7432581470.651521,0.6256843797923648,True
2025_12_28_15_05_17_40,225.69,alpha_base,1.2318981029470678e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1260225460470403e-05,7.800766221637495e-07,0.23214393567158353,True
2025_12_28_15_05_17_40,225.69,alpha_slope,4.414537848818887e-09,4.980847359599641e-09,5.120519784474225e-10,5.192940084735566e-09,4.164295502637272e-10,0.18674359676068275,False
2025_12_28_15_05_17_40,225.69,nu,0.3398227767665391,0.30984843316836863,0.030187336074286225,0.32955528673239337,0.028031190441649617,0.07142550198303943,True
2026_01_26_10_04_00_5,220.5,E_intercept,209103368572.23257,199962913259.04697,19856455540.189907,224393389203.10635,11031707672.482056,0.44442714611610146,True
2026_01_26_10_04_00_5,220.5,alpha_base,1.1166002503973036e-05,1.0018430562895206e-05,1.015915167442249e-06,1.0672340515738904e-05,8.70032508256623e-07,0.14359728436077202,True
2026_01_26_10_04_00_5,220.5,alpha_slope,5.253969572036341e-09,4.980847359599641e-09,5.120519784474225e-10,5.189424736848326e-09,4.304410585199101e-10,0.15938014764626507,True
2026_01_26_10_04_00_5,220.5,nu,0.2806174649644808,0.30984843316836863,0.030187336074286225,0.3236983861650847,0.02195290195507529,0.27277776677436205,False
